date,open,high,low,close
2010-06-29,1.2812,1.6764,1.219,1.6487
2010-06-30,1.796,2.0565,1.6277,1.6307
2010-07-01,1.7388,1.7388,1.3963,1.522
2010-07-02,1.6008,1.6008,1.2825,1.31
2010-07-06,1.335,1.3926,1.0756,1.078
2010-07-07,1.1446,1.1598,1.0036,1.0902
2010-07-08,1.104,1.196,1.083,1.167
2010-07-09,1.191,1.2278,1.1248,1.2
2010-07-12,1.1972,1.2467,1.1491,1.1578
2010-07-13,1.18,1.2679,1.1679,1.2222
2010-07-14,1.245,1.3698,1.211,1.3277
2010-07-15,1.3385,1.4461,1.3242,1.346
2010-07-16,1.41,1.48,1.381,1.399
2010-07-19,1.4671,1.492,1.428,1.4654
2010-07-20,1.4621,1.5252,1.3793,1.4139
2010-07-21,1.4423,1.4423,1.3,1.385
2010-07-22,1.3929,1.463,1.362,1.4
2010-07-23,1.4352,1.5045,1.4213,1.4213
2010-07-26,1.4363,1.45,1.4002,1.4002
2010-07-27,1.408,1.451,1.3789,1.4
2010-07-28,1.38,1.4549,1.38,1.4232
2010-07-29,1.439,1.439,1.3513,1.4063
2010-07-30,1.3888,1.3888,1.3089,1.3551
2010-08-02,1.4198,1.437,1.4053,1.4053
2010-08-03,1.4,1.4731,1.4,1.4731
2010-08-04,1.4769,1.4816,1.4,1.4267
2010-08-05,1.499,1.499,1.392,1.4103
2010-08-06,1.37,1.373,1.3069,1.318
2010-08-09,1.3405,1.364,1.3405,1.355
2010-08-10,1.35,1.36,1.2623,1.3093
2010-08-11,1.269,1.3156,1.2155,1.2155
2010-08-12,1.1875,1.2292,1.1875,1.1983
2010-08-13,1.241,1.2442,1.2191,1.2442
2010-08-16,1.2336,1.291,1.2201,1.291
2010-08-17,1.279,1.3468,1.253,1.3396
2010-08-18,1.327,1.351,1.26,1.2898
2010-08-19,1.245,1.3344,1.224,1.2918
2010-08-20,1.2944,1.331,1.235,1.3236
2010-08-23,1.2906,1.3984,1.2906,1.397
2010-08-24,1.2903,1.374,1.2903,1.34
2010-08-25,1.2828,1.3904,1.2473,1.3904
2010-08-26,1.333,1.3682,1.315,1.3388
2010-08-27,1.3544,1.4,1.3544,1.3729
2010-08-30,1.3351,1.357,1.3351,1.339
2010-08-31,1.3447,1.3447,1.3111,1.33
2010-09-01,1.32,1.4447,1.3127,1.4048
2010-09-02,1.407,1.473,1.371,1.473
2010-09-03,1.4089,1.49,1.4089,1.4652
2010-09-07,1.396,1.4315,1.3934,1.4315
2010-09-08,1.4246,1.4485,1.4022,1.4485
2010-09-09,1.4,1.4269,1.3866,1.4269
2010-09-10,1.3908,1.4014,1.3588,1.3588
2010-09-13,1.4347,1.4386,1.4314,1.4386
2010-09-14,1.3913,1.46,1.3913,1.436
2010-09-15,1.4191,1.5303,1.4191,1.5303
2010-09-16,1.534,1.589,1.406,1.406
2010-09-17,1.4112,1.4737,1.36,1.3788
2010-09-20,1.43,1.4908,1.364,1.4291
2010-09-21,1.3995,1.4523,1.3901,1.3901
2010-09-22,1.426,1.426,1.35,1.3722
2010-09-23,1.378,1.3994,1.3,1.305
2010-09-24,1.34,1.394,1.34,1.36
2010-09-27,1.42,1.4367,1.3416,1.4367
2010-09-28,1.4475,1.4776,1.409,1.4776
2010-09-29,1.4469,1.535,1.4469,1.5158
2010-09-30,1.4897,1.5317,1.367,1.4013
2010-10-01,1.3875,1.4082,1.356,1.387
2010-10-04,1.39,1.4338,1.39,1.4337
2010-10-05,1.47,1.47,1.434,1.434
2010-10-06,1.433,1.4358,1.3634,1.414
2010-10-07,1.3843,1.423,1.379,1.379
2010-10-08,1.425,1.432,1.377,1.377
2010-10-11,1.4153,1.4153,1.351,1.3546
2010-10-12,1.401,1.401,1.3661,1.3661
2010-10-13,1.42,1.46,1.3828,1.4103
2010-10-14,1.4,1.471,1.3972,1.3972
2010-10-15,1.4034,1.4407,1.38,1.4036
2010-10-18,1.385,1.41,1.353,1.3904
2010-10-19,1.3691,1.4215,1.3393,1.3393
2010-10-20,1.358,1.433,1.358,1.433
2010-10-21,1.399,1.4314,1.399,1.4079
2010-10-22,1.4252,1.43,1.4051,1.4051
2010-10-25,1.423,1.449,1.394,1.43
2010-10-26,1.4041,1.503,1.4041,1.489
2010-10-27,1.4689,1.4948,1.3973,1.4
2010-10-28,1.47,1.4787,1.4526,1.4526
2010-10-29,1.4332,1.475,1.4332,1.475
2010-11-01,1.5336,1.5609,1.4366,1.4852
2010-11-02,1.5009,1.5071,1.42,1.42
2010-11-03,1.4847,1.6,1.4445,1.5235
2010-11-04,1.5579,1.7159,1.5177,1.69
2010-11-05,1.669,1.7415,1.6588,1.7101
2010-11-08,1.6889,1.7031,1.634,1.7031
2010-11-09,1.6808,1.7913,1.6139,1.66
2010-11-10,1.659,2.029,1.659,1.9906
2010-11-11,1.9474,2.02,1.879,1.949
2010-11-12,1.9286,2.1315,1.9286,2.0378
2010-11-15,2.0748,2.211,2.0603,2.1077
2010-11-16,2.0959,2.1718,1.922,2.062
2010-11-17,2.0755,2.11,1.9913,2.012
2010-11-18,2.1278,2.1278,1.962,2.0548
2010-11-19,2.0771,2.1877,2.07,2.14
2010-11-22,2.1978,2.32,2.1,2.2873
2010-11-23,2.2989,2.4505,2.207,2.4007
2010-11-24,2.383,2.4803,2.3724,2.4803
2010-11-26,2.3765,2.5,2.3761,2.3761
2010-11-29,2.4733,2.5069,2.255,2.334
2010-11-30,2.356,2.4188,2.3285,2.3673
2010-12-01,2.4975,2.4975,2.27,2.37
2010-12-02,2.2759,2.3129,2.1,2.1684
2010-12-03,2.158,2.158,2.1056,2.1056
2010-12-06,2.15,2.1887,2.0177,2.0952
2010-12-07,2.0649,2.21,2.0649,2.142
2010-12-08,2.232,2.266,2.1335,2.159
2010-12-09,2.2118,2.2451,2.18,2.1853
2010-12-10,2.2145,2.3037,2.0933,2.1718
2010-12-13,2.2065,2.222,2.0838,2.1154
2010-12-14,2.0342,2.088,1.8974,1.944
2010-12-15,1.9375,2.066,1.9375,2.0349
2010-12-16,2.0,2.1411,1.993,2.061
2010-12-17,2.094,2.1864,2.0932,2.0932
2010-12-20,2.1581,2.184,2.1581,2.1662
2010-12-21,2.22,2.2421,2.2,2.2421
2010-12-22,2.19,2.2945,2.1659,2.1759
2010-12-23,2.145,2.214,2.0876,2.095
2010-12-27,1.9387,1.9621,1.7096,1.7504
2010-12-28,1.7982,1.8441,1.6693,1.8441
2010-12-29,1.831,1.9195,1.831,1.8538
2010-12-30,1.8937,1.92,1.8101,1.8101
2010-12-31,1.7935,1.8532,1.7935,1.8179
2011-01-03,1.8276,1.8408,1.804,1.8408
2011-01-04,1.8025,1.8058,1.789,1.789
2011-01-05,1.7807,1.8499,1.77,1.8344
2011-01-06,1.8323,1.9437,1.8197,1.863
2011-01-07,1.9565,1.9565,1.89,1.899
2011-01-10,1.881,1.9553,1.881,1.9553
2011-01-11,1.998,1.998,1.8166,1.8166
2011-01-12,1.8103,1.8803,1.8103,1.8803
2011-01-13,1.8696,1.8696,1.795,1.795
2011-01-14,1.8235,1.8235,1.7174,1.7174
2011-01-18,1.702,1.7525,1.702,1.7525
2011-01-19,1.7183,1.731,1.611,1.611
2011-01-20,1.62,1.63,1.5383,1.562
2011-01-21,1.5505,1.6256,1.516,1.584
2011-01-24,1.6258,1.7,1.5635,1.6878
2011-01-25,1.6936,1.7117,1.6368,1.6793
2011-01-26,1.6921,1.72,1.6819,1.72
2011-01-27,1.6945,1.744,1.6621,1.7037
2011-01-28,1.7314,1.7314,1.6076,1.6751
2011-01-31,1.6308,1.681,1.5889,1.6132
2011-02-01,1.6453,1.6531,1.5913,1.602
2011-02-02,1.6732,1.678,1.5901,1.634
2011-02-03,1.613,1.6489,1.5805,1.6012
2011-02-04,1.592,1.627,1.592,1.627
2011-02-07,1.5706,1.5898,1.5464,1.547
2011-02-08,1.5609,1.7596,1.5594,1.6746
2011-02-09,1.6407,1.661,1.5243,1.5617
2011-02-10,1.6027,1.643,1.5571,1.5901
2011-02-11,1.58,1.6043,1.56,1.56
2011-02-14,1.6199,1.6234,1.5729,1.5729
2011-02-15,1.561,1.6019,1.541,1.581
2011-02-16,1.57,1.7158,1.57,1.6899
2011-02-17,1.688,1.7083,1.5817,1.5817
2011-02-18,1.6189,1.636,1.5535,1.5535
2011-02-22,1.5842,1.6046,1.51,1.526
2011-02-23,1.5203,1.5203,1.4239,1.5059
2011-02-24,1.498,1.5621,1.4604,1.536
2011-02-25,1.5323,1.63,1.5323,1.577
2011-02-28,1.6142,1.6618,1.5889,1.6618
2011-03-01,1.7,1.7,1.64,1.659
2011-03-02,1.644,1.6867,1.644,1.672
2011-03-03,1.683,1.6906,1.64,1.64
2011-03-04,1.704,1.723,1.6146,1.723
2011-03-07,1.726,1.775,1.6945,1.7159
2011-03-08,1.6689,1.703,1.6689,1.703
2011-03-09,1.65,1.744,1.626,1.697
2011-03-10,1.6295,1.6695,1.629,1.632
2011-03-11,1.6,1.6842,1.6,1.6694
2011-03-14,1.617,1.617,1.55,1.55
2011-03-15,1.5,1.5824,1.475,1.57
2011-03-16,1.537,1.5785,1.537,1.5785
2011-03-17,1.5583,1.596,1.5521,1.5575
2011-03-18,1.615,1.615,1.52,1.6016
2011-03-21,1.561,1.561,1.5227,1.5227
2011-03-22,1.52,1.557,1.52,1.54
2011-03-23,1.531,1.5513,1.5167,1.5513
2011-03-24,1.503,1.555,1.4977,1.4977
2011-03-25,1.544,1.578,1.5362,1.5447
2011-03-28,1.5889,1.6,1.5332,1.6
2011-03-29,1.6303,1.6411,1.5981,1.6411
2011-03-30,1.6504,1.6996,1.559,1.6394
2011-03-31,1.7986,1.951,1.7986,1.91
2011-04-01,1.8529,1.9724,1.7912,1.819
2011-04-04,1.822,1.9,1.728,1.768
2011-04-05,1.7588,1.9,1.7328,1.8
2011-04-06,1.8,1.8597,1.79,1.817
2011-04-07,1.86,1.938,1.8205,1.87
2011-04-08,1.8388,1.93,1.795,1.795
2011-04-11,1.7957,1.8466,1.678,1.7465
2011-04-12,1.71,1.7499,1.65,1.65
2011-04-13,1.7016,1.7599,1.693,1.693
2011-04-14,1.715,1.754,1.677,1.754
2011-04-15,1.75,1.781,1.75,1.781
2011-04-18,1.7262,1.745,1.675,1.7198
2011-04-19,1.7298,1.754,1.6726,1.754
